kind,stem_id,other_stem,standard_id,concept_id,node_id,score,detail
node_no_concept,COU,,,,COU-0012,,Count out a group of more than 20 objects.
node_no_concept,COU,,,,COU-0013,,Count on from a given number.
node_no_concept,COU,,,,COU-0014,,Determine the numbers that are 1 more and 1 less than a given number.
node_no_concept,COU,,,,COU-0018,,Count a collection of objects efficiently by grouping the objects and skip-counting by twos.
node_no_concept,COU,,,,COU-0023,,Understand that the number of objects in a group is not affected by how the objects are arranged or the order they are counted in.
node_no_concept,COU,,,,COU-0024,,"Count forward and backward by 1s and 10s, from any number, to solve problems."
node_no_concept,FRA,,,,FRA-0001,,"Given a unit fraction on a number line, name the fraction."
node_no_concept,FRA,,,,FRA-0002,,Partition an interval and locate unit fractions on a number line.
node_no_concept,FRA,,,,FRA-0005,,Identify and generate equivalent fractions on number lines.
node_no_concept,FRA,,,,FRA-0006,,Generate equivalent fractions by using equations.
node_no_concept,FRA,,,,FRA-0007,,Identify and generate equivalent fractions by using concrete objects.
node_no_concept,FRA,,,,FRA-0008,,Identify and generate equivalent fractions by using area models.
node_no_concept,FRA,,,,FRA-0011,,"Compare and order fractions by using the benchmarks 0, 1⁄2, and 1."
node_no_concept,FRA,,,,FRA-0012,,Compare and order fractions.
node_no_concept,FRA,,,,FRA-0014,,Find a fraction of a set where the result is a whole number.
node_no_concept,FRA,,,,FRA-0015,,Find a fraction of a whole number by using the number line.
node_no_concept,FRA,,,,FRA-0016,,Find a fraction of a set where the result is a fraction.
node_no_concept,FRA,,,,FRA-0017,,Find and represent a fraction of a set by using concrete objects.
node_no_concept,FRA,,,,FRA-0018,,Find and represent a fraction of a set by using a tape diagram.
node_no_concept,MUL,,,,MUL-0001,,Represent equal groups by using repeated addition to find the total.
node_no_concept,MUL,,,,MUL-0002,,Translate between models and addition and multiplication expressions to find a product.
node_no_concept,MUL,,,,MUL-0003,,Multiply by using repeated addition strategies.
node_no_concept,MUL,,,,MUL-0004,,Use repeated subtraction to find the number of equal groups when given the total and the size of each group.
node_no_concept,MUL,,,,MUL-0005,,Represent and explain division as an unknown factor problem.
node_no_concept,MUL,,,,MUL-0007,,Apply properties of operations as multiplication strategies.
node_no_concept,MUL,,,,MUL-0008,,Apply properties of operations as division strategies.
node_no_concept,MUL,,,,MUL-0010,,Fluently multiply within 100.
node_no_concept,MUL,,,,MUL-0011,,Fluently divide within 100.
node_no_concept,MUL,,,,MUL-0012,,Fluently multiply within 144.
node_no_concept,MUL,,,,MUL-0013,,Fluently divide within 144.
node_no_concept,MUL,,,,MUL-0014,,Generate factor pairs for a whole number.
node_no_concept,MUL,,,,MUL-0015,,Identify prime and composite numbers.
node_no_concept,MUL,,,,MUL-0018,,Describe a relationship between quantities by using a multiplicative comparison.
node_no_concept,MUL,,,,MUL-0020,,Multiply a multi-digit whole number by a single-digit whole number by using strategies based on place value concepts and the properties of o
node_no_concept,MUL,,,,MUL-0021,,Multiply a multi-digit whole number by a single-digit whole number and record the partial products in vertical form.
node_no_concept,MUL,,,,MUL-0022,,Multiply a multi-digit whole number by a two-digit whole number by using strategies based on place value concepts and the properties of oper
node_no_concept,MUL,,,,MUL-0023,,Multiply two multi-digit whole numbers and record in vertical form.
node_no_concept,MUL,,,,MUL-0027,,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by using strategies based on place value concep
node_no_concept,MUL,,,,MUL-0028,,Find whole-number quotients and remainders with multi-digit dividends and one-digit divisors by recording the partial quotients in vertical 
node_no_concept,MUL,,,,MUL-0029,,Interpret remainders in context.
node_no_concept,MUL,,,,MUL-0030,,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by using strategies based on place value concep
node_no_concept,MUL,,,,MUL-0031,,Find whole-number quotients and remainders with multi-digit dividends and two-digit divisors by recording the partial quotients in vertical 
node_no_concept,MUL,,,,MUL-0032,,Express the result of division with remainder as a mixed number.
node_no_concept,MUL,,,,MUL-0033,,Find mixed-number quotients and remainders with multi-digit dividends and divisors by using the standard algorithm.
node_no_concept,SUB,,,,SUB-0001,,Determine how many objects are in a group of up to 5 objects without counting.
node_no_concept,SUB,,,,SUB-0002,,Determine how many objects are in a group without counting by recognizing and composing smaller groups.
node_no_concept,TIM,,,,TIM-0001,,Describe and compare time intervals.
node_no_concept,TIM,,,,TIM-0004,,Classify times as moments in time or durations of time.
node_no_concept,TIM,,,,TIM-0005,,Label the events of a day on a timeline.
node_no_concept,TIM,,,,TIM-0007,,Classify events by using a.m. or p.m.
