Rows where neither concept_standards nor the category route named any
stem (§5 rule 6). Ruled: surfaced here, not chased (session brief §8).

952 rows.

band   sheet                        code                
None   Florida                      FL.912.LT.5.1
None   Florida                      FL.912.LT.5.2
None   Florida                      FL.912.LT.5.3
None   Florida                      FL.912.LT.5.4
None   Florida                      FL.912.LT.5.5
None   Florida                      FL.912.LT.5.6
None   Florida                      FL.912.NSO.1.3
None   Florida                      FL.912.NSO.1.5
None   Florida                      FL.912.NSO.1.6
None   Florida                      FL.912.NSO.1.7
None   Florida                      FL.912.NSO.2.1
None   Florida                      FL.912.NSO.2.2
None   Florida                      FL.912.NSO.2.4
None   Florida                      FL.912.NSO.2.5
None   Florida                      FL.912.NSO.2.6
None   Florida                      FL.912.NSO.3.1
None   Florida                      FL.912.NSO.3.2
None   Florida                      FL.912.NSO.3.3
None   Florida                      FL.912.NSO.3.4
None   Florida                      FL.912.NSO.3.5
None   Florida                      FL.912.NSO.3.6
None   Florida                      FL.912.NSO.3.7
None   Florida                      FL.912.NSO.3.8
None   Florida                      FL.912.NSO.3.9
None   Florida                      FL.912.NSO.4.1
None   Florida                      FL.912.NSO.4.3
None   Florida                      FL.912.NSO.4.4
None   Florida                      FL.912.T.1.1
None   Florida                      FL.912.T.1.2
None   Florida                      FL.912.T.1.3
None   Florida                      FL.912.T.1.4
None   Florida                      FL.912.T.1.5
None   Florida                      FL.912.T.1.6
None   Florida                      FL.912.T.1.7
None   Florida                      FL.912.T.1.8
None   Florida                      FL.912.T.2.1
None   Florida                      FL.912.T.2.2
None   Florida                      FL.912.T.2.3
None   Florida                      FL.912.T.2.4
None   Florida                      FL.912.T.2.5
None   Florida                      FL.912.T.3.1
None   Florida                      FL.912.T.3.2
None   Florida                      FL.912.T.3.3
None   Florida                      FL.912.T.4.1
None   Florida                      FL.912.T.4.2
None   Florida                      FL.912.T.4.3
None   Florida                      FL.912.T.4.4
None   Florida                      FL.912.T.4.5
None   Florida                      FL.912.T.4.6
None   Florida                      FL.912.T.4.7
None   Texas                        TX.A2.2B
None   Texas                        TX.A2.2C
None   Texas                        TX.A2.2D
None   Texas                        TX.A2.4A
None   Texas                        TX.A2.4B
None   Texas                        TX.A2.4C
None   Texas                        TX.A2.4E
None   Texas                        TX.A2.4G
None   Texas                        TX.A2.4H
None   Texas                        TX.A2.5A
None   Texas                        TX.A2.5C
None   Texas                        TX.A2.5E
None   Texas                        TX.A2.6A
None   Texas                        TX.A2.6B
None   Texas                        TX.A2.6C
None   Texas                        TX.A2.6G
None   Texas                        TX.A2.6H
None   Texas                        TX.A2.6I
None   Texas                        TX.A2.6J
None   Texas                        TX.A2.6K
None   Texas                        TX.A2.6L
None   Texas                        TX.A2.7A
None   Texas                        TX.A2.7C
